RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,931,4141,137993,Faringdon Community College,ACC,0,0,,3,3,71,79%,3%,73%,39%,35%,4%,3%,71,79%,3,3,0,NA,NA,NA,0,NA,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4142,137140,King Alfred's,ACC,0,0,,3,-1,160,65%,0%,61%,26%,18%,0%,4%,160,65%,-1,3,0,NA,NA,NA,0,NA,NA,NA,21%,0%,SUPP,0%,0%,0%,SUPP
1,931,4145,139528,St Gregory the Great Catholic School,ACC,0,0,,2,14,82,74%,0%,72%,21%,17%,0%,2%,82,74%,14,2,0,NA,NA,NA,0,NA,NA,NA,44%,0%,SUPP,0%,0%,0%,SUPP
1,931,4560,138817,The Marlborough Church of England School,ACC,0,0,,3,-5,88,68%,0%,66%,26%,23%,3%,2%,87,68%,-5,3,1,SUPP,SUPP,SUPP,0,NA,NA,NA,SUPP,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4580,138667,Lord Williams's School,ACC,0,0,,3,-1,232,70%,SP,68%,26%,19%,1%,2%,232,70%,-1,3,0,NA,NA,NA,0,NA,NA,NA,60%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,4600,141146,Blessed George Napier Catholic School and Sports College,ACC,0,0,,3,2,64,72%,0%,70%,39%,25%,0%,2%,64,72%,2,3,0,NA,NA,NA,0,NA,NA,NA,86%,0%,SUPP,57%,57%,0%,SUPP
3,931,4900,132916,Didcot Sixth Form College,,,,,3,-2,148,72%,1%,71%,33%,24%,1%,0%,148,72%,-2,3,0,NA,NA,NA,0,NA,NA,NA,100%,SUPP,SUPP,70%,50%,SUPP,0%
3,931,4901,133226,16-19 Abingdon,,,,,3,1,160,74%,1%,72%,21%,17%,1%,1%,160,74%,1,3,0,NA,NA,NA,0,NA,NA,NA,91%,SUPP,SUPP,27%,27%,SUPP,SUPP
1,931,6905,135365,North Oxfordshire Academy,AC,0,0,,4,-18,57,42%,2%,35%,7%,4%,2%,5%,52,44%,-18,4,5,SUPP,SUPP,SUPP,0,NA,NA,NA,38%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,931,6906,135675,The Oxford Academy,AC,0,0,,4,-17,274,31%,1%,26%,0%,0%,0%,4%,265,31%,-17,4,8,25%,-9,3,1,SUPP,SUPP,SUPP,35%,SUPP,29%,0%,0%,0%,SUPP
