2018 KS5 excel and csv download data files: field names and descriptions,,,,,,
 '.' indicates that a field is intentionally null/blank,,,,,,
"Note: This publication now includes the retention, and continuation and attainment data.",,,,,,
,,,,,,
Column,Field Name,Field description,Null/blank field for Rectype 1,Null/blank field for Rectype 3,Null/blank field for Rectype 4,Null/blank field for Rectype 5 or 7
FW,T_AIMS_L2VOC_NOTDIS,Number of level 2 vocational or technical certificate aims in completion and attainment measure for non-disadvantaged students,.,.,.,.
FX,CA_Score_L2VOC_NOTDIS,Level 2 vocational completion and attainment score for non-disadvantaged students,.,.,.,.
FY,T_InScope_L2VOC_Ret_NOTDIS,Number of non-disadvantaged students in scope for retention measure where core aim is a level 2 programme,.,.,.,.
FZ,PT_Retained_L2VOC_Ret_NOTDIS,Percentage of non-disadvantaged students who completed a level 2 core aim for retention measure,.,.,.,.
GA,ENTRIES_ALEV,Number of A level entries included in value added measure,,,,
GB,VA_INS_ALEV,A level value added score,,,,
GC,UCI_INS_ALEV,A level  value added upper confidence limit,,,,
GD,LCI_INS_ALEV,A level value added lower confidence limit,,,,
GE,PROGRESS_BAND_ALEV,A level progress band,,,,.
GF,ENTRIES_ACAD,Number of academic entries included in value added measure,,,,
GG,VA_INS_ACAD,Academic value added score,,,,
GH,UCI_INS_ACAD,Academic value added upper confidence limit,,,,
GI,LCI_INS_ACAD,Academic value added lower confidence limit,,,,
GJ,PROGRESS_BAND_ACAD,Academic progress band,,,,.
GK,ENTRIES_AGEN,Number of applied general entries included in value added measure,,,,
GL,VA_INS_AGEN,Applied general value added score,,,,
GM,UCI_INS_AGEN,Applied general value added upper confidence limit,,,,
GN,LCI_INS_AGEN,Applied general value added lower confidence limit,,,,
GO,PROGRESS_BAND_AGEN,Applied general progress band,,,,.
GP,ENTRIES_ALEV_DIS,Number of A level entries by disadvantaged students included in value added measure,,,,
GQ,VA_INS_ALEV_DIS,A level value added score for disadvantaged students,,,,
GR,UCI_INS_ALEV_DIS,A level  value added upper confidence limit for disadvantaged students,,,,
GS,LCI_INS_ALEV_DIS,A level value added lower confidence limit for disadvantaged students,,,,
GT,ENTRIES_ACAD_DIS,Number of academic entries by disadvantaged students included in value added measure,,,,
GU,VA_INS_ACAD_DIS,Academic value added score for disadvantaged students,,,,
GV,UCI_INS_ACAD_DIS,Academic value added upper confidence limit for disadvantaged students,,,,
GW,LCI_INS_ACAD_DIS,Academic value added lower confidence limit for disadvantaged students,,,,
GX,ENTRIES_AGEN_DIS,Number of applied general entries by disadvantaged students included in value added measure,,,,
GY,VA_INS_AGEN_DIS,Applied general value added score for disadvantaged students,,,,
GZ,UCI_INS_AGEN_DIS,Applied general value added upper confidence limit for disadvantaged students,,,,
