"TIME_PERIOD","TIME_IDENTIFIER","TRUST_GROUP_TYPE","TRUST_NAME","TRUST_UID","TRUST_ID","TRUST_COMPANIES_HOUSE_NUMBER","TRUST_UKPRN","TRUST_LEADREGION","INSTITUTIONS_MATPTINC","NUMINST_MATPTINC","NUMINST_FSM6CLA1A_MATPTINC","NUMINST_CONVERTER_MATPTINC","NUMINST_SPONSOR_MATPTINC","NUMINST_FREE_MATPTINC","NUMINST_3_MATPTINC","NUMINST_4PLUS_MATPTINC","TELIG_MATPTINC","PFSM6CLA1A_MATPTINC","PNOTFSM6CLA1A_MATPTINC","PEALGRP2_MATPTINC","PSEN_MATPTINC","PRWM_EXP_WGTAVG","PRWM_EXP_WGTAVG_FSM6CLA1A","PRWM_EXP_WGTAVG_NOTFSM6CLA1A","INSTITUTIONS_INMAT","NUMINST_INMAT","NUMINST_CONVERTER_INMAT","NUMINST_SPONSOR_INMAT","NUMINST_FREE_INMAT","TELIG_INMAT","PFSM6CLA1A_INMAT","PNOTFSM6CLA1A_INMAT"
202324,"AcademicYear","Multi-academy trust","CABOT LEARNING FEDERATION",2516,"TR00367",6207590,10058211,"South West","137106;138603;138655;138658;138789;138791;139694;140216;146101;148160",10,10,4,6,0,1,9,508,"30%","70%","22%","20%","72%","63%","76%","137106;138603;138655;138658;138789;138791;139694;140216;146101;148160",10,4,6,0,508,"30%","70%"
202324,"AcademicYear","Multi-academy trust","MERIDIAN TRUST",2526,"TR00375",7552498,10053421,"East of England","140855;143084;143561;143575;144746;144947;145801;145804;148371",9,8,6,2,1,4,5,397,"25%","75%","23%","18%","61%","44%","67%","138993;139087;140855;143084;143561;143575;144746;144770;144947;145801;145804;146968;148371",13,7,4,2,657,"23%","77%"
202324,"AcademicYear","Multi-academy trust","BISHOP HOGARTH CATHOLIC EDUCATION TRUST",2548,"TR00392",7808732,10055116,"North East","138523;139492;139531;139533;140442;142734;142736;142739;143515;146256;146679;146709;147402;148279;148280;148281;148366;148367;148380;148461;148462;148627;148628;148629",24,24,23,1,0,11,13,680,"26%","74%","11%","20%","65%","46%","71%","138523;139492;139531;139533;140442;142734;142736;142739;143515;146256;146679;146709;147402;148279;148280;148281;148366;148367;148380;148461;148462;148627;148628;148629;148817;148915;148916;149057;149058;149059",30,29,1,0,800,"27%","73%"
202324,"AcademicYear","Multi-academy trust","CASTLE PHOENIX TRUST",2565,"TR00407",8331385,10060243,"West Midlands","139681;146393;148533",3,3,1,2,0,1,2,185,"39%","61%","42%","19%","63%","52%","69%","139681;146393;148533",3,1,2,0,185,"39%","61%"
202324,"AcademicYear","Multi-academy trust","CASTLE SCHOOL EDUCATION TRUST",2567,"TR00409",8397975,10060317,"South West","139935;141174;141513",3,3,0,3,0,0,3,101,"SUPPMAT","SUPPMAT","10%","16%","59%","SUPPMAT","SUPPMAT","139935;141174;141513;150017",4,1,3,0,111,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","CATALYST  ACADEMIES TRUST",2575,"TR00414",8407989,10060328,"East of England","139104;139382;139576;144448;146818",5,5,2,3,0,0,5,294,"33%","67%","28%","18%","79%","70%","84%","139104;139382;139576;144448;146818",5,2,3,0,294,"33%","67%"
202324,"AcademicYear","Multi-academy trust","FRASSATI CATHOLIC ACADEMY TRUST",2579,"TR00416",8561153,10060480,"South East","139882;141818;142319;144248;144455",5,5,5,0,0,0,5,206,"5%","95%","20%","17%","75%","70%","76%","139882;141818;142319;144248;144455",5,5,0,0,206,"5%","95%"
202324,"AcademicYear","Multi-academy trust","CENTRAL LEARNING PARTNERSHIP TRUST",2594,"TR00427",7827368,10059395,"West Midlands","139199;139223;139225;140378;145395",5,5,1,4,0,0,5,203,"46%","54%","46%","14%","52%","43%","61%","139199;139223;139225;140378;145395",5,1,4,0,203,"46%","54%"
202324,"AcademicYear","Multi-academy trust","ANTHEM SCHOOLS TRUST",2597,"TR00429",7468210,10058447,"East Midlands","137281;138063;138291;138372;138970;138992;139709;139837;139907;140833",10,10,2,5,3,0,10,425,"33%","67%","32%","20%","64%","49%","71%","137281;138063;138291;138372;138970;138992;139709;139837;139907;140833",10,2,5,3,425,"33%","67%"
202324,"AcademicYear","Multi-academy trust","RIVER LEARNING TRUST",2644,"TR00467",7966500,10059630,"South East","138005;139064;142384;142449;143951;144185;144432;144433;145648;145651;146236;146270;146278;146815;146939;147640",16,14,10,6,0,0,16,524,"29%","71%","16%","26%","56%","27%","69%","138005;139064;141231;142384;142449;143951;144185;144432;144433;145648;145651;146236;146270;146278;146815;146939;147640",17,10,7,0,549,"30%","70%"
202324,"AcademicYear","Multi-academy trust","CHESTER DIOCESAN ACADEMIES TRUST",2647,"TR00470",8451787,10060388,"North West","140417;143551;144381;144832;145720;146530;147723;147810;148098;148203;148660",11,9,7,4,0,3,8,223,"37%","63%","16%","24%","50%","43%","54%","140417;143551;144381;144832;145720;146530;147723;147810;148098;148203;148660;149512;149613;149628",14,10,4,0,302,"31%","69%"
202324,"AcademicYear","Multi-academy trust","COLLECTIVE VISION TRUST",2650,"TR00472",8786812,10060677,"West Midlands","140195;143345;143349",3,3,2,1,0,0,3,98,"47%","53%","2%","20%","60%","48%","71%","138043;140195;143345;143349",4,3,1,0,140,"38%","62%"
202324,"AcademicYear","Multi-academy trust","CHILTERN LEARNING TRUST",2661,"TR00480",7559901,10055370,"East of England","136345;136766;138209;139705;145861",5,5,4,1,0,0,5,482,"SUPPMAT","SUPPMAT","19%","18%","57%","SUPPMAT","SUPPMAT","136345;136766;138209;139705;142036;145219;145861",7,5,2,0,599,"SUPPMAT","SUPPMAT"
202324,"AcademicYear","Multi-academy trust","PACE ACADEMY TRUST",2666,"TR02600",8891864,10060730,"London","140704;141118;143133;146390;146401",5,5,2,3,0,0,5,214,"32%","68%","25%","14%","71%","51%","81%","140704;141118;143133;146390;146401",5,2,3,0,214,"32%","68%"
202324,"AcademicYear","Multi-academy trust","CHRIST THE KING CATHOLIC COLLEGIATE",2681,"TR02599",8933913,10060762,"West Midlands","140803;140804;140805;143352;145687",5,5,5,0,0,0,5,225,"13%","87%","29%","14%","73%","60%","75%","140803;140804;140805;143352;145687",5,5,0,0,225,"13%","87%"
202324,"AcademicYear","Multi-academy trust","CHULMLEIGH ACADEMY TRUST",2685,"TR00498",7697698,10059080,"South West","137023;137025;137780",3,3,3,0,0,0,3,48,"27%","73%","0%","27%","42%","23%","49%","137023;137025;137780",3,3,0,0,48,"27%","73%"
